nombre_cancion,nombre_artista,duracion,oyentes,reproducciones,url
House Tour,Sabrina Carpenter,169,675264,10988557,https://www.last.fm/music/Sabrina+Carpenter/_/House+Tour
Roommates,Malcolm Todd,214,654498,8497481,https://www.last.fm/music/Malcolm+Todd/_/Roommates
SLOW DANCING IN THE DARK,Joji,231,1823381,36764807,https://www.last.fm/music/Joji/_/SLOW+DANCING+IN+THE+DARK
Busy Woman,Sabrina Carpenter,186,860098,15403496,https://www.last.fm/music/Sabrina+Carpenter/_/Busy+Woman
Diet Pepsi,Addison Rae,169,1066932,23219025,https://www.last.fm/music/Addison+Rae/_/Diet+Pepsi
Von dutch,Charli xcx,177,1414059,31050424,https://www.last.fm/music/Charli+xcx/_/Von+dutch
Season 2 Weight Loss,Harry Styles,229,256144,1487543,https://www.last.fm/music/Harry+Styles/_/Season+2+Weight+Loss
Please Please Please,Sabrina Carpenter,186,1697406,35691915,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please
Everlong,Foo Fighters,334,3075557,45368082,https://www.last.fm/music/Foo+Fighters/_/Everlong
The Chain - 2004 Remaster,Fleetwood Mac,269,1732661,21965372,https://www.last.fm/music/Fleetwood+Mac/_/The+Chain+-+2004+Remaster
Ribs,Lorde,301,1795707,34323284,https://www.last.fm/music/Lorde/_/Ribs
Sports car,Tate McRae,165,905211,21317516,https://www.last.fm/music/Tate+McRae/_/Sports+car
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,244,1871556,29844662,https://www.last.fm/music/The+Smiths/_/There+Is+a+Light+That+Never+Goes+Out+-+2011+Remaster
No Surprises,Radiohead,228,3328221,54014844,https://www.last.fm/music/Radiohead/_/No+Surprises
Still Into You,Paramore,216,1969725,26775328,https://www.last.fm/music/Paramore/_/Still+Into+You
Every Breath You Take,The Police,251,2794642,26208365,https://www.last.fm/music/The+Police/_/Every+Breath+You+Take
4 Raws,EsDeeKid,147,664989,8427079,https://www.last.fm/music/EsDeeKid/_/4+Raws
Stateside,PinkPantheress,168,667444,9663789,https://www.last.fm/music/PinkPantheress/_/Stateside
When Did You Get Hot?,Sabrina Carpenter,145,806509,11625303,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F
All I Wanted,Paramore,225,1712503,23319107,https://www.last.fm/music/Paramore/_/All+I+Wanted
Life Goes On,BTS,208,573576,154375071,https://www.last.fm/music/BTS/_/Life+Goes+On
My Own Summer (Shove It),Deftones,215,1828953,27017546,https://www.last.fm/music/Deftones/_/My+Own+Summer+(Shove+It)
All I Need,Radiohead,278,2424542,40359053,https://www.last.fm/music/Radiohead/_/All+I+Need
Promiscuous,Nelly Furtado,243,2237153,22023075,https://www.last.fm/music/Nelly+Furtado/_/Promiscuous
Love Me Not,Ravyn Lenae,213,1175140,17006069,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not
Tonight,PinkPantheress,174,801674,11709011,https://www.last.fm/music/PinkPantheress/_/Tonight
Kiss It Better,Rihanna,248,1042714,15186316,https://www.last.fm/music/Rihanna/_/Kiss+It+Better
ARE WE STILL FRIENDS?,"Tyler, The Creator",265,1805719,31410655,"https://www.last.fm/music/Tyler,+The+Creator/_/ARE+WE+STILL+FRIENDS%3F"
Breathe,Malcolm Todd,176,108235,623414,https://www.last.fm/music/Malcolm+Todd/_/Breathe
Into You,Ariana Grande,244,1658257,26148716,https://www.last.fm/music/Ariana+Grande/_/Into+You
Red Wine Supernova,Chappell Roan,192,1304560,31463521,https://www.last.fm/music/Chappell+Roan/_/Red+Wine+Supernova
Headlock,Imogen Heap,214,1566141,25498199,https://www.last.fm/music/Imogen+Heap/_/Headlock
Gabriela,KATSEYE,197,954960,16733797,https://www.last.fm/music/KATSEYE/_/Gabriela
Bed Chem,Sabrina Carpenter,171,1239859,25619957,https://www.last.fm/music/Sabrina+Carpenter/_/Bed+Chem
The Adults Are Talking,The Strokes,309,1604288,27738684,https://www.last.fm/music/The+Strokes/_/The+Adults+Are+Talking
undressed,sombr,182,1073292,14942552,https://www.last.fm/music/sombr/_/undressed
Bring Me to Life,Evanescence,237,2799268,29927171,https://www.last.fm/music/Evanescence/_/Bring+Me+to+Life
Go Away,Weezer,193,278394,2473551,https://www.last.fm/music/Weezer/_/Go+Away
Tití Me Preguntó,Bad Bunny,243,962561,12065431,https://www.last.fm/music/Bad+Bunny/_/Tit%C3%AD+Me+Pregunt%C3%B3
Timeless (feat Playboi Carti),The Weeknd,0,1059954,13461834,https://www.last.fm/music/The+Weeknd/_/Timeless+(feat+Playboi+Carti)
We Are the People,Empire of the Sun,268,1614316,20051055,https://www.last.fm/music/Empire+of+the+Sun/_/We+Are+the+People
Primadonna,Marina,221,1143526,12239102,https://www.last.fm/music/Marina/_/Primadonna
Homewrecker,sombr,209,296278,2154294,https://www.last.fm/music/sombr/_/Homewrecker
Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths,215,1646945,24690644,https://www.last.fm/music/The+Smiths/_/Heaven+Knows+I%27m+Miserable+Now+-+2011+Remaster
Pink Pony Club,Chappell Roan,258,1487781,26363122,https://www.last.fm/music/Chappell+Roan/_/Pink+Pony+Club
From the Start,Laufey,184,1481708,27015866,https://www.last.fm/music/Laufey/_/From+the+Start
Girl Like Me,PinkPantheress,145,549926,6944487,https://www.last.fm/music/PinkPantheress/_/Girl+Like+Me
Fade Into You,Mazzy Star,290,2130950,32873998,https://www.last.fm/music/Mazzy+Star/_/Fade+Into+You
Sailor Song,Gigi Perez,211,1251472,26890742,https://www.last.fm/music/Gigi+Perez/_/Sailor+Song
Jigsaw Falling Into Place,Radiohead,274,2304849,40290650,https://www.last.fm/music/Radiohead/_/Jigsaw+Falling+Into+Place
Body,Don Toliver,0,324967,2077260,https://www.last.fm/music/Don+Toliver/_/Body
360,Charli xcx,130,1601216,33270896,https://www.last.fm/music/Charli+xcx/_/360
Passionfruit,Drake,298,1584615,27657149,https://www.last.fm/music/Drake/_/Passionfruit
the perfect pair,beabadoobee,177,1451096,29380729,https://www.last.fm/music/beabadoobee/_/the+perfect+pair
party 4 u,Charli xcx,358,1164072,19798539,https://www.last.fm/music/Charli+xcx/_/party+4+u
DNA,BTS,223,787781,44722756,https://www.last.fm/music/BTS/_/DNA
